Year,Month,Day,Hour,Temp,Humidity,Pressure,Rain,Cloud,Sun,WindSpeed,WindDir
2020,10,22,0,11.806351,97,1000.4,0.3,100,0,30.962091,246.71394
2020,10,22,1,11.836351,97,1000.7,1.1,100,0,23.132626,249.02652
2020,10,22,2,10.526351,94,1001.8,0.7,2,0,21.434364,262.27817
2020,10,22,3,10.996351,95,1002.7,0.2,100,0,22.007162,254.82709
2020,10,22,4,10.846352,95,1002.7,0.2,100,0,20.898611,259.0772
2020,10,22,5,10.336351,95,1003.1,0,100,0,20.880001,270
2020,10,22,6,9.536351,97,1003.6,0,100,0,19.44,270
2020,10,22,7,9.526351,95,1004.4,0,100,0,18.72346,268.89832
2020,10,22,8,9.106351,96,1005.2,0,100,0,17.28,270
2020,10,22,9,9.806351,92,1005.1,0,100,0,18.374111,267.75427
2020,10,22,10,10.546351,89,1005.8,0,100,0,18.806337,264.5077
2020,10,22,11,10.846352,86,1006.5,0,47,30,19.201874,263.5412
2020,10,22,12,12.096352,79,1006.7,0,100,0,20.633371,263.991
2020,10,22,13,11.676352,77,1008.6,0,100,0,18.532133,262.18472
2020,10,22,14,11.786351,74,1008,0,100,0,18.486622,263.29016
2020,10,22,15,12.056351,71,1008,0,100,0,18.228943,260.90973
2020,10,22,16,12.136352,70,1008.6,0,22,45.95745,17.298738,257.98853
2020,10,22,17,11.226351,75,1008.5,0,100,0,15.815435,258.17853
2020,10,22,18,10.296351,83,1008.8,0.1,100,0,11.212135,264.47247
2020,10,22,19,9.726351,88,1008.9,0.1,100,0,8.759178,279.46234
2020,10,22,20,9.656351,89,1008.7,0.1,100,0,7.8625183,285.9454
2020,10,22,21,9.756351,88,1008.8,0,100,0,7.2805495,278.53076
2020,10,22,22,9.536351,90,1009.1,0.1,100,0,5.8048253,262.875
2020,10,22,23,9.416351,93,1009.2,0.1,100,0,5.6920996,251.56506
2020,10,23,0,9.496351,95,1009.2,0.2,100,0,5.0142193,248.9625
2020,10,23,1,9.546351,96,1008.4,0.3,100,0,4.6102495,231.3402
2020,10,23,2,9.666351,96,1008.2,0.4,100,0,4.5820518,225
2020,10,23,3,9.766351,97,1008.1,0.3,100,0,4.8433046,221.98721
2020,10,23,4,9.856351,97,1007.4,0.2,100,0,4.829907,243.43495
2020,10,23,5,9.996351,97,1007,0.2,100,0,6.6185193,247.61987
2020,10,23,6,10.186351,97,1006.8,0,100,0,9.83268,246.2505
2020,10,23,7,10.086351,97,1006.3,0,100,0,11.792404,238.73627
2020,10,23,8,10.096352,97,1006.2,0,100,0,14.277983,236.30994
2020,10,23,9,10.496351,90,1006.4,0,100,0,20.898611,259.0772
2020,10,23,10,10.876351,82,1006.7,0,100,0,24.627787,254.74487
2020,10,23,11,11.196351,82,1007.6,0,100,0,26.282463,246.5953
2020,10,23,12,11.246351,90,1007.1,0.5,100,0,26.064596,237.40742
2020,10,23,13,11.676352,93,1005.9,0.9,100,0,30.351225,247.69379
2020,10,23,14,11.936351,78,1006.2,0,100,0,25.600533,295.8444
2020,10,23,15,11.756351,71,1006.4,0,54,25.531916,26.27753,279.46234
2020,10,23,16,11.066351,72,1007.8,0,100,0,25.455843,278.1301
2020,10,23,17,10.286351,75,1008.1,0,100,0,23.0653,272.68378
2020,10,23,18,9.196351,82,1007.9,0,100,0,19.8,270
2020,10,23,19,8.786351,84,1008.9,0,100,0,17.294992,267.61407
2020,10,23,20,9.136352,81,1009,0,100,0,19.493261,265.7636
2020,10,23,21,9.046351,82,1008.5,0,100,0,18.998314,260.1807
2020,10,23,22,9.076351,82,1009.1,0,100,0,18.792551,249.82935
2020,10,23,23,9.146351,82,1008.8,0,100,0,21.09305,242.56027
